,Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
1042,33.0,1.0,48.0,-1640.0,-16468.0,740.0,1008.0,-8436.0,-15104.0,100.0,Happy
1043,-1.0,-1.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,Happy
1044,33.0,1.0,48.0,-1620.0,-16524.0,804.0,856.0,-8328.0,-15180.0,100.0,Happy
1045,33.0,1.0,48.0,-1580.0,-16532.0,964.0,908.0,-8288.0,-15108.0,100.0,Happy
1046,33.0,1.0,48.0,-1624.0,-16472.0,868.0,896.0,-8224.0,-15104.0,100.0,Happy
1047,33.0,-1.0,48.0,-1592.0,-16408.0,852.0,-1.0,-1.0,-1.0,100.0,Happy
1048,-1.0,1.0,48.0,-1.0,-1.0,-1.0,896.0,-8164.0,-14928.0,100.0,Happy
1049,33.0,1.0,48.0,-756.0,-16608.0,-212.0,792.0,-8344.0,-15060.0,100.0,Happy
1050,-1.0,-1.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,Happy
1051,33.0,1.0,48.0,1016.0,-16636.0,-964.0,872.0,-8344.0,-15004.0,100.0,Happy
1052,-1.0,-1.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,Happy
1053,33.0,1.0,48.0,1060.0,-16616.0,-1008.0,848.0,-8296.0,-15152.0,100.0,Happy
1054,33.0,-1.0,48.0,1860.0,-16508.0,-940.0,-1.0,-1.0,-1.0,100.0,Happy
1055,33.0,1.0,48.0,1624.0,-16604.0,-904.0,836.0,-8344.0,-15128.0,100.0,Happy
1056,-1.0,1.0,48.0,-1.0,-1.0,-1.0,924.0,-8288.0,-15156.0,100.0,Happy
1057,33.0,-1.0,48.0,1756.0,-16680.0,-976.0,-1.0,-1.0,-1.0,100.0,Happy
1058,33.0,1.0,48.0,1916.0,-16608.0,-860.0,964.0,-8340.0,-15324.0,100.0,Happy
1059,33.0,-1.0,48.0,1992.0,-16568.0,-1024.0,-1.0,-1.0,-1.0,100.0,Happy
1060,33.0,1.0,48.0,2124.0,-16588.0,-840.0,984.0,-8276.0,-15096.0,150.0,Angry
1061,33.0,1.0,48.0,2220.0,-16556.0,-960.0,880.0,-8292.0,-15328.0,150.0,Angry
1062,33.0,1.0,48.0,2344.0,-16660.0,-940.0,908.0,-8244.0,-15204.0,150.0,Angry
1063,-1.0,1.0,48.0,-1.0,-1.0,-1.0,904.0,-8220.0,-15204.0,150.0,Angry
1064,33.0,1.0,48.0,2476.0,-16520.0,-892.0,920.0,-8372.0,-15148.0,150.0,Angry
1065,33.0,1.0,48.0,2476.0,-16564.0,-848.0,896.0,-8176.0,-15184.0,150.0,Angry
1066,33.0,1.0,48.0,2780.0,-16532.0,-924.0,908.0,-8280.0,-15168.0,150.0,Angry
1067,33.0,1.0,48.0,2980.0,-16444.0,-1164.0,856.0,-8264.0,-15100.0,150.0,Angry
1068,34.0,1.0,48.0,3248.0,-16300.0,-892.0,880.0,-8264.0,-15176.0,150.0,Angry
1069,34.0,1.0,56.0,3136.0,-16468.0,-904.0,824.0,-8260.0,-15188.0,150.0,Angry
1070,34.0,1.0,56.0,3464.0,-16412.0,-1200.0,864.0,-8236.0,-15176.0,150.0,Angry
1071,-1.0,-1.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Angry
1072,34.0,1.0,56.0,3468.0,-16348.0,-1336.0,892.0,-8268.0,-15120.0,150.0,Angry
1073,-1.0,-1.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Angry
1074,34.0,1.0,56.0,3464.0,-16360.0,-1580.0,992.0,-8372.0,-15180.0,150.0,Angry
1075,-1.0,-1.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Angry
1076,34.0,1.0,56.0,3776.0,-16204.0,-1976.0,856.0,-8228.0,-15184.0,150.0,Angry
1077,34.0,1.0,56.0,4212.0,-16144.0,-1996.0,928.0,-8324.0,-15076.0,150.0,Angry
1078,-1.0,-1.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Angry
1079,34.0,1.0,56.0,4352.0,-16208.0,-2368.0,768.0,-8224.0,-15080.0,150.0,Angry
